1,Championnat of Argentina
2,Championnat of Australia
3,Championnat of Austria
4,Championnat of Belgium
5,Championnat of Bosnia and Herzegovina
6,Championnat of Brazil
7,Championnat of Cambodia
8,Championnat of Canada
9,Championnat of Colombia
10,Championnat of Croatia
11,Championnat of Cuba
12,Championnat of Cyprus
13,Championnat of Czech Republic
14,Championnat of Denmark
15,Championnat of Dominican Republic
16,Championnat of England
17,Championnat of Estonia
18,Championnat of Finland
19,Championnat of France
20,Championnat of Georgia
21,Championnat of Germany
22,Championnat of Ghana
23,Championnat of Greece
24,Championnat of Hungary
25,Championnat of Iceland
26,Championnat of Israel
27,Championnat of Italy
28,Championnat of Jamaica
29,Championnat of Kosovo
30,Championnat of Latvia
31,Championnat of Lithuania
32,Championnat of Luxembourg
33,Championnat of Montenegro
34,Championnat of Netherlands
35,Championnat of Nigeria
36,Championnat of Norway
37,Championnat of Poland
38,Championnat of Portugal
39,Championnat of Puerto Rico
40,Championnat of Republic of the Congo
41,Championnat of Romania
42,Championnat of Senegal
43,Championnat of Serbia
44,Championnat of Slovakia
45,Championnat of Slovenia
46,Championnat of Spain
47,Championnat of Sweden
48,Championnat of Switzerland
49,Championnat of Trinidad and Tobago
50,Championnat of Tunisia
51,Championnat of Turkey
52,Championnat of Ukraine
53,Championnat of United States
54,Championnat of Uruguay
55,Championnat of Zimbabwe
56,Championnat of Allemagne
57,Championnat of Angola
58,Championnat of Australie
59,Championnat of Brésil
60,Championnat of Cap-Vert
61,Championnat of Chine
62,Championnat of Cote d'Ivoire
63,Championnat of Égypte
64,Championnat of Espagne
65,Championnat of Finlande
66,Championnat of Géorgie
67,Championnat of Grèce
68,Championnat of Iran
69,Championnat of Italie
70,Championnat of Japon
71,Championnat of Jordanie
72,Championnat of Lettonie
73,Championnat of Liban
74,Championnat of Lituanie
75,Championnat of Mexique
76,Championnat of Monténégro
77,Championnat of Nouvelle-Zélande
78,Championnat of Philippines
79,Championnat of Porto Rico
80,Championnat of République dominicaine
81,Championnat of Serbie
82,Championnat of Slovénie
83,Championnat of Soudan du Sud
84,Championnat of USA
85,Championnat of Venezuela
86,Championnat of North Macedonia
87,Championnat of Thailand
88,Championnat of Hong Kong
89,Championnat of Indonesia
90,Championnat of Macao
91,Championnat of Malaysia
92,Championnat of Viet Nam
93,Championnat of Singapore
94,Championnat of United Arab Emirates
95,Championnat of Kazakhstan
96,Championnat of Taiwan
97,Championnat of India
98,Championnat of Palestinian Territory
99,Championnat of Lebanon
100,Championnat of China
101,Championnat of Côte d'Ivoire
102,Championnat of Egypt
103,Championnat of South Africa
104,Championnat of Mozambique
105,Championnat of Rwanda
106,Championnat of Guinea
107,Championnat of Mali
108,Championnat of Albania
109,Championnat of Belarus
110,Championnat of United Kingdom
111,Championnat of Chile
112,Championnat of Mexico
113,Championnat of Nicaragua
114,Championnat of Bulgaria
115,Championnat of Azerbaijan
116,Championnat of Ecuador
117,Championnat of Paraguay
118,Championnat of Bolivia