1,Argentina
2,Australia
3,Austria
4,Belgium
5,Bosnia and Herzegovina
6,Brazil
7,Cambodia
8,Canada
9,Colombia
10,Croatia
11,Cuba
12,Cyprus
13,Czech Republic
14,Denmark
15,Dominican Republic
16,England
17,Estonia
18,Finland
19,France
20,Georgia
21,Germany
22,Ghana
23,Greece
24,Hungary
25,Iceland
26,Israel
27,Italy
28,Jamaica
29,Kosovo
30,Latvia
31,Lithuania
32,Luxembourg
33,Montenegro
34,Netherlands
35,Nigeria
36,Norway
37,Poland
38,Portugal
39,Puerto Rico
40,Republic of the Congo
41,Romania
42,Senegal
43,Serbia
44,Slovakia
45,Slovenia
46,Spain
47,Sweden
48,Switzerland
49,Trinidad and Tobago
50,Tunisia
51,Turkey
52,Ukraine
53,United States
54,Uruguay
55,Zimbabwe
56,Allemagne
57,Angola
58,Australie
59,Brésil
60,Cap-Vert
61,Chine
62,Cote d'Ivoire
63,Égypte
64,Espagne
65,Finlande
66,Géorgie
67,Grèce
68,Iran
69,Italie
70,Japon
71,Jordanie
72,Lettonie
73,Liban
74,Lituanie
75,Mexique
76,Monténégro
77,Nouvelle-Zélande
78,Philippines
79,Porto Rico
80,République dominicaine
81,Serbie
82,Slovénie
83,Soudan du Sud
84,USA
85,Venezuela
86,North Macedonia
87,Thailand
88,Hong Kong
89,Indonesia
90,Macao
91,Malaysia
92,Viet Nam
93,Singapore
94,United Arab Emirates
95,Kazakhstan
96,Taiwan
97,India
98,Palestinian Territory
99,Lebanon
100,China
101,Côte d'Ivoire
102,Egypt
103,South Africa
104,Mozambique
105,Rwanda
106,Guinea
107,Mali
108,Albania
109,Belarus
110,United Kingdom
111,Chile
112,Mexico
113,Nicaragua
114,Bulgaria
115,Azerbaijan
116,Ecuador
117,Paraguay
118,Bolivia